participant_id,parameter,posterior_mean,hdi_low,hdi_high
P000,omega_2,-3.7053300053896416,-4.393769642480748,-3.123026675747237
P001,omega_2,-3.470905495586709,-4.019391535068793,-2.9128735693038057
P002,omega_2,-3.3298212715382176,-3.767324190512313,-2.8154277597860515
P003,omega_2,-4.632011430391584,-5.186686884897212,-4.127450993557061
P004,omega_2,-4.2971565470172575,-4.648469365570007,-3.9728249641315814
P005,omega_2,-2.7839774668839126,-3.1514619534972326,-2.4011557344434267
P006,omega_2,-2.6397628932362753,-3.0394403227595865,-2.264791562117124
P007,omega_2,-2.9091906252519206,-3.2719809870413044,-2.450731962451074
P008,omega_2,-3.1907196044255794,-3.554570587191,-2.8255867643460255
P009,omega_2,-2.6471892887414015,-3.0558226257077883,-2.1978211022699936
P010,omega_2,-2.85803328206442,-3.2433769725595574,-2.4864536874369523
P011,omega_2,-3.04375278199066,-3.4053531707687084,-2.6882213219445505
P012,omega_2,-5.072940043343834,-5.511730267953383,-4.656117796247858
P013,omega_2,-2.428086441868318,-2.981162421920242,-1.876703453136865
P014,omega_2,-3.1342806104726133,-3.573259987245868,-2.7343212836803303
P015,omega_2,-3.6307654865549965,-4.04578364497161,-3.235091619306469
P016,omega_2,-2.2746608637158405,-2.7632992630322923,-1.721822016734992
P017,omega_2,-2.9651330024288116,-3.3574196346925596,-2.4793032454616344
P018,omega_2,-3.007839969356125,-3.419150247678217,-2.541804176091574
P019,omega_2,-2.706829005598013,-3.1218318737874924,-2.3031229320475783
P020,omega_2,-2.0222092618542664,-2.474535482240298,-1.6365844790121633
P021,omega_2,-3.063636232964107,-3.421510187509027,-2.730706830806084
P022,omega_2,-2.9864730731829057,-3.384582527590375,-2.613537734744535
P023,omega_2,-3.9266359774104256,-4.337694647740671,-3.484281762838911
P024,omega_2,-3.3193066121433854,-3.764601053795157,-2.769201719883834
P025,omega_2,-2.7322038410762706,-3.2436782996476388,-2.2154893706734304
P026,omega_2,-4.192691991164833,-4.588614523263057,-3.813730052866482
P027,omega_2,-3.169835994009337,-3.60184489410754,-2.791145959266559
P028,omega_2,-2.8197416618065745,-3.201362810238593,-2.4240858663499774
P029,omega_2,-2.3281308630731585,-2.8074725365382127,-1.7951441582505367
P030,omega_2,-2.9363036137232292,-3.40267299622312,-2.476038137503519
P031,omega_2,-2.980081023158499,-3.3729362824723115,-2.6202743545338643
P032,omega_2,-3.764748859770976,-4.226806589361661,-3.2365320411574956
P033,omega_2,-2.0193107294079384,-2.3584297679026878,-1.6799694633870108
P034,omega_2,-2.571964422869841,-2.9970496593830704,-2.1360766455876954
P035,omega_2,-1.9598476075170124,-2.354922433077286,-1.5629994699300054
P036,omega_2,-3.5121617790234128,-3.973074477614319,-3.012828526429246
P037,omega_2,-3.243300040496698,-3.65877615300152,-2.902473045946969
P038,omega_2,-2.362972548430676,-2.754812194884461,-1.9288337823763337
P039,omega_2,-2.7906268597534036,-3.1883101719698095,-2.353986477034468
P040,omega_2,-2.7157703201894843,-3.2315758810133843,-2.1677099775827484
P041,omega_2,-2.1981636136906646,-2.857071712642109,-1.5428667078150529
P042,omega_2,-4.480412833864754,-4.930319577809682,-4.079214028097474
P043,omega_2,-2.4519698956335287,-3.049840016818627,-1.912211323269989
P044,omega_2,-2.6825650305509834,-3.238803041857932,-2.1536049389353185
P045,omega_2,-3.0350022428887415,-3.542673993915249,-2.5852648576501323
P046,omega_2,-3.742392221198895,-4.177414872539814,-3.250865062010322
P047,omega_2,-2.8686192342336465,-3.318131696815236,-2.4931520024319784
P048,omega_2,-2.7773165509213977,-3.2502277465950313,-2.2771060251280373
P049,omega_2,-2.453150632391024,-2.974923318211598,-1.9290618151144274
P050,omega_2,-3.1970501537182248,-3.703663617531454,-2.6758231916799997
P051,omega_2,-3.1238458265364515,-3.5058823661092604,-2.6707512889567484
P052,omega_2,-3.1572389797787506,-3.855165432102809,-2.4795107969616295
P053,omega_2,-3.560545803036519,-4.148523700421753,-3.0366398417288973
P054,omega_2,-2.6296171335043463,-3.085347588497213,-2.1155626608416522
P055,omega_2,-3.072433011781882,-3.53286872576627,-2.5644990717520395
P056,omega_2,-2.2724986946779993,-2.754720751139512,-1.7486226953406856
P057,omega_2,-3.4686957671635876,-4.02463923622022,-2.881174616853975
P058,omega_2,-2.611226578517237,-3.2890142195454786,-1.9423585356175193
P059,omega_2,-1.5652547123480016,-2.318621244827207,-0.6795632357140994
