participant_id,parameter,true_value
P000,omega_2,-3.65741889818503
P000,beta,2.875199225878379
P000,b,-0.05758750632396617
P001,omega_2,-3.084211723150054
P001,beta,2.493808022697275
P001,b,0.4872607623056251
P002,omega_2,-3.200929174030606
P002,beta,2.8490840648789466
P002,b,0.02484526655529372
P003,omega_2,-4.696705443888474
P003,beta,2.36669862953753
P003,b,0.2588437018553259
P004,omega_2,-3.5376444788012695
P004,beta,0.5303665678175251
P004,b,-0.8542250041737789
P005,omega_2,-2.7464177564002825
P005,beta,1.5293144705527157
P005,b,-1.0897642922349542
P006,omega_2,-2.7938161860542303
P006,beta,1.8750523243686144
P006,b,-0.08725423500806764
P007,omega_2,-2.952372036428902
P007,beta,2.264511057724995
P007,b,0.7895780869308343
P008,omega_2,-2.8913267833639087
P008,beta,1.9178485005529433
P008,b,-0.5264550447359142
P009,omega_2,-2.77076853155696
P009,beta,2.2845918619125394
P009,b,-0.24008433453140338
P010,omega_2,-2.604508849080981
P010,beta,1.7270389909207335
P010,b,0.2317511581748841
P011,omega_2,-2.998776888612084
P011,beta,1.8803644170564844
P011,b,0.005077467693937106
P012,omega_2,-3.891955170021354
P012,beta,1.6614967675213772
P012,b,-0.5629118472389271
P013,omega_2,-2.485299916670713
P013,beta,2.713844149121929
P013,b,-0.47458958776814125
P014,omega_2,-3.2746823683119306
P014,beta,1.970970633105776
P014,b,0.07711145917578399
P015,omega_2,-2.9849528673241545
P015,beta,1.3153721101323783
P015,b,0.4820814409122351
P016,omega_2,-2.416425791260932
P016,beta,2.8315400957741863
P016,b,0.7810163919054463
P017,omega_2,-2.8927053266685663
P017,beta,1.8954316620074683
P017,b,0.4168145793629936
P018,omega_2,-2.9624697727353784
P018,beta,1.790689841320033
P018,b,0.4441388191942631
P019,omega_2,-3.12842975954023
P019,beta,2.567174914445287
P019,b,0.5523063586791607
P020,omega_2,-2.09985485846472
P020,beta,1.583020270342653
P020,b,0.637169956253028
P021,omega_2,-2.9619096862866345
P021,beta,1.142821443720739
P021,b,-0.6344340029122224
P022,omega_2,-3.1559613508842923
P022,beta,1.8858360488424932
