participant_id,parameter,posterior_mean,hdi_low,hdi_high
P000,omega_2,-3.8270069920222682,-4.338743650614836,-3.2588161843321934
P001,omega_2,-3.5900718412729526,-4.129280702116915,-3.0681890047664586
P002,omega_2,-3.424754762888269,-3.924780764612609,-2.871686165197909
P003,omega_2,-4.252726273800217,-4.607549043679532,-3.8486955933686104
P004,omega_2,-4.389014170568016,-4.668698228328135,-4.070022722254204
P005,omega_2,-3.2462047387611825,-3.69780126051566,-2.8591668049771335
P006,omega_2,-3.3712841699415184,-3.7502322917011313,-2.9487987330277674
P007,omega_2,-3.345599443495602,-3.8579542231888406,-2.8674100564089726
P008,omega_2,-3.380699368677001,-3.8171728936749236,-2.9352027798417892
P009,omega_2,-3.466921103831039,-3.913978563051486,-2.9888065890493096
P010,omega_2,-3.8255667033729446,-4.269751130510601,-3.391448786394974
P011,omega_2,-3.8104585514596465,-4.261690343427484,-3.343306349003699
P012,omega_2,-3.8687465816385607,-4.2669171938413,-3.4791869646405598
P013,omega_2,-3.2100394274442574,-3.721431384888918,-2.738986878937424
P014,omega_2,-3.841320190356921,-4.276320380935943,-3.4290008608510654
P015,omega_2,-3.6346624058755084,-3.9764345622233552,-3.2252541804953796
P016,omega_2,-3.26250247932917,-3.8125573257645775,-2.7289728041866677
P017,omega_2,-3.823119272965927,-4.315924808830204,-3.4216183211162194
P018,omega_2,-3.614456704269237,-4.036349181345707,-3.17519614321992
P019,omega_2,-3.621597375035456,-4.286591334839046,-3.064908731412626
P020,omega_2,-3.2853166608603845,-3.694951407771406,-2.850193043133949
P021,omega_2,-3.597441116611785,-3.9504778878040643,-3.277409399619433
P022,omega_2,-3.7810709216791207,-4.240263889164046,-3.307175756568821
P023,omega_2,-4.0211571588357415,-4.442201029148666,-3.6470604942878957
P024,omega_2,-3.681982065931389,-4.238079205728483,-3.206561316682791
P025,omega_2,-3.469155582124828,-3.94959046651988,-2.9682743527801896
P026,omega_2,-3.8210842502571842,-4.331978612352328,-3.330897723147902
P027,omega_2,-3.386399034297202,-3.8745379100367052,-2.8940560446698216
P028,omega_2,-3.40499993083213,-3.8338507540188838,-3.0086975266264546
P029,omega_2,-3.3375228314095975,-3.957114088163398,-2.739500159985191
P030,omega_2,-3.4200342554336634,-3.884093376613511,-2.912411150437398
P031,omega_2,-3.9462113097896636,-4.3027041120884375,-3.5527743446209725
P032,omega_2,-3.563665398225986,-4.006173939116038,-3.074890912785916
P033,omega_2,-3.3946270985078217,-3.7876514419299423,-2.9668033932979783
P034,omega_2,-3.6470069969448016,-4.18462087319414,-3.2423460240607413
P035,omega_2,-3.1276434386361607,-3.487506735719724,-2.702146993659282
P036,omega_2,-3.389230917221125,-3.8823209815219784,-2.979887599347883
P037,omega_2,-3.830929427039961,-4.2286428746350335,-3.4352619852846438
P038,omega_2,-3.528671480104458,-3.976553649149196,-3.1311281128842205
P039,omega_2,-3.5456026000234018,-4.0137535879560815,-3.1174214356022705
P040,omega_2,-3.542562151444403,-4.038496667552886,-3.072494288327295
P041,omega_2,-3.3442611305825842,-3.8525578851071005,-2.7932423401394324
P042,omega_2,-3.8384688853884854,-4.367181797997452,-3.3163790728664537
P043,omega_2,-3.2290653199242203,-3.990074398063129,-2.4831949010748056
P044,omega_2,-3.5750766425177445,-4.176573818513635,-2.993891088890879
P045,omega_2,-3.7668282506022583,-4.405116810812594,-3.210420903406617
P046,omega_2,-3.904881329358271,-4.338430945019223,-3.4394327522852195
